,S. no.,Carry Forwarded From 2023,Zone,Region,City,Exchange as per PC-1,Feeding Node,Area,Ufone,Ufone - LAT,Ufone - LONG,Design Status,Status(Fiberized/ Non Fiberize),FAT/NAP not covered as Home Pass,NAP covered as Home Pass (With Drop pipe),NAP covered as Home Pass (Witout  Drop pipe),FAT covered as Home Pass (Aerial Deployment),Remarks,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
315,316,Yes,South,KTR-2,Karachi,PECHS,PECHS,"Block 2,3",,,,,,,,,Nill,Nill,0,,,,,,,
316,317,Yes,Central,GTR,Mandi Bahauddin ,Mandi Bahaudin Urban,Mandi Bahaudin Urban,Sufi City,Nil,,,,,,,,Nill,Nill,,,,,,,,
317,318,Yes,Central,GTR,Mandi Bahauddin ,Mandi Bahaudin Urban,Mandi Bahaudin Urban,Arshad Town/Lalazar Colony,,,,,,,,,Nill,Nill,,,,,,,,
318,319,Yes,Central,GTR,Gujranwala ,Peoples Colony,Peoples Colony Gujranwala,Madina Masjid,,,,,,,,,Nill,Nill,,,,,,,,
319,320,Yes,Central,GTR,Gujranwala ,Peoples Colony,Peoples Colony Gujranwala,Madina Masjid,,,,,,,,,Nill,Nill,,,,,,,,
320,321,Yes,Central,GTR,Hafizabad,Hafizabad,Hafizabad,Qatal Ghara Chowk,,,,,,,,,Nill,Nill,,,,,,,,
321,322,Yes,Central,LTR-N,Lahore,CTH,CTH,Urdu Bazar,,,,,,,,,Nill,Nill,,,,,,,,
322,323,Yes,Central,LTR-N,Lahore,CTH,CTH,Urdu Bazar,,,,,,,,,Nill,Nill,,,,,,,,
323,324,Yes,Central,GTR,Gujranwala ,Model Town Gujranwala,Shalimar Town MSAG-11,Shalimar Town MSAG-11,Nil,,,,,,,,Nill,Nill,,,,,,,,
324,325,Yes,Central,GTR,Hafizabad,Hafizabad,Hafizabad,Ali Pur Road,,,,,,,,,Nill,Nill,,,,,,,,
325,326,Yes,Central,GTR,Gujranwala ,Model Town Gujranwala,Model Town Gujranwala,Zahid Colony,3936-3G-CI-4778-,32.18612,74.17901,Yes,Non Fiberized,Not Covered,-,-,-,Out Of Area / not feasible,,,,,,,,
326,327,Yes,Central,GTR,Gujranwala ,Model Town Gujranwala,Model Town Gujranwala,Zahid Colony,7462--,32.18507,74.18164,Yes,Non Fiberized,Not Covered,-,-,-,Not Feasible/ Out of Area,0,,,,,,,
327,328,Yes,Central,GTR,Gujranwala ,Model Town Gujranwala,Model Town Gujranwala,Zahid Colony,,,,,,,,,Nill,Nill,,,,,,,,
328,329,Yes,Central,GTR,Gujranwala ,Model Town Gujranwala,Model Town Gujranwala,Zahid Colony,,,,,,,,,Nill,Nill,,,,,,,,
329,330,Yes,Central,FTR,Faisalabad,Ghulam Muhammad Abad,Ghulam Muhammad Abad,Block A (GMD),,,,,,,,,Nill,Nill,,,,,,,,
330,331,Yes,Central,LTR-N,Lahore,Shahdara,Shahdara,Al Rehman Garden,CI-1710-3G-CI-2068-,31.6001,74.2335,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,Completed,,Fiberized,,,,,,
331,332,Yes,North,RTR,Chakwal,PD Khan,Khewra,Dandot Cement,Nil,,,,,,,,Nill,Nill,,,,,,,,
332,333,Yes,Central,LTR-S,Lahore,Wapda Town,Wapda Town,Jaffar Town,Nil,,,,,,,,Nill,Nill,,,,,,,,
333,334,Yes,Central,SLTR,Kharian,Kharian-I,Kharian-I,Sana Ullah Colony,Nil,,,,,,,,Nill,Nill,,,,,,,,
334,335,Yes,Central,LTR-S,Lahore,Gulberg,Gulberg,Al latif,Nil,,,,,,,,Nill,Nill,,,,,,,,
335,336,Yes,North,ITR,Islamabad,I-10,I-10,I-8 Markaz Plazas,,,,,,,,,Nill,Nill,,,,,,,,
336,337,Yes,Central,SLTR,Sialkot,Pasroor Road,CTX Paris Rd,Jinnah Park Colony,,,,,,,,,Nill,Nill,,,,,,,,
337,338,Yes,Central,SLTR,Sialkot,Pasroor Road,CTX Paris Rd,Jinnah Park Colony,,,,,,,,,Nill,Nill,,,,,,,,
338,339,Yes,Central,FTR,Faisalabad,PCX Faisalabad,PCX Faisalabad,Kareem Town,Nil,,,,,,,,Nill,Nill,,,,,,,,
339,340,Yes,Central,FTR,Faisalabad,PCX Faisalabad,PCX Faisalabad,NFC Jaranwala Road ,Nil,,,,,,,,Nill,Nill,,,,,,,,
340,341,Yes,Central,FTR,Faisalabad,Sargodha Road,Sargodha Road,"Gulistan Coloy 02, Near Ideal Sweets",Nil,,,,,,,,Nill,Nill,,,,,,,,
341,342,Yes,Central,FTR,Faisalabad,Sargodha Road,Sargodha Road,Mughal Pura (MSAG-09),Nil,,,,,,,,Nill,Nill,,,,,,,,
342,343,Yes,Central,FTR,Faisalabad,Sargodha Road,Sargodha Road,Ismail Valley,Nil,,,,,,,,Nill,Nill,,,,,,,,
343,344,Yes,Central,FTR,Mianwali,Mianwali,Mianwali,Bandi Arain Wali,Nil,,,,,,,,Nill,Nill,,,,,,,,
344,345,Yes,Central,FTR,Sargodha,Satellite Town Sargodha,Satellite Town Sargodha,Gulshan e Madinah Society & Roshan Homes,Nil,,,,,,,,Nill,Nill,,,,,,,,
345,346,Yes,North,NTR-2,Peshawar,Khyber,Khyber,University Road - Plazas,,,,,,,,,Nill,Nill,,,,,,,,
346,347,Yes,North,RTR,Rawalpindi,Rawat,Rawat,PAEC & Police Line Rawat,Nil,,,,,,,,Nill,Nill,,,,,,,,
347,348,Yes,Central,LTR-S,Lahore,Gulberg,Gulberg,Upper Mall,Nil,,,,,,,,Nill,Nill,,,,,,,,
348,349,Yes,Central,LTR-S,Lahore,Allama Iqbal Town,Allama Iqbal Town,Clifton,Nil,,,,,,,,Nill,Nill,,,,,,,,
349,350,Yes,Central,LTR-S,Lahore,Allama Iqbal Town,Allama Iqbal Town,Ittehaad Jahanzaib Block,Nil,,,,,,,,Nill,Nill,,,,,,,,
350,351,Yes,Central,SLTR,Kharian,Kharian-I,Kharian-I,Jinnah Colony,Nil,,,,,,,,Nill,Nill,,,,,,,,
351,352,Yes,Central,SLTR,Gujrat,CTX Gujrat,CTX Gujrat,Fawarah Chowk ,Nil,,,,,,,,Nill,Nill,,,,,,,,
352,353,Yes,Central,SLTR,Gujrat,CTX Gujrat,CTX Gujrat,Jatowakal,Nil,,,,,,,,Nill,Nill,,,,,,,,
353,354,Yes,Central,LTR-S,Lahore,Thokar Niaz Baig,Thokar Niaz Baig,Park View City,Ni;l,,,,,,,,Nill,Nill,,,,,,,,
354,355,Yes,Central,LTR-N,Lahore,DHA Lahore,Guldasht ,"Eden City, Park View DHA Phase-8 ",CI-1565-3G-CI-1809-,31.52203,74.43971,Yes,Fiberized,Covered,-,-,"FAT Covered, FAT #30,FDH-103",Completed,,Fiberized,,,,,,
355,356,Yes,Central,LTR-N,Lahore,DHA Lahore,Guldasht ,"Eden City, Park View DHA Phase-8 ",Nil,,,,,,,,Nill,Nill,,,,,,,,
356,357,Yes,Central,FTR,Faisalabad,CTH Faisalabad,CTH Faisalabad,Model Town A Block,Nil,,,,,,,,Nill,Nill,,,,,,,,
357,358,Yes,Central,LTR-S,Lahore,Bahria Town Lahore,Bahria Town Lahore,"Bahria Town Lahore (R6, R8), Babar Block Sector A",7818-3G-CI-4469-4G-CI-124469,31.36865,74.18211,Yes,Non Fiberized,Not Covered,-,-,-,ROW Issue/ to be executed,0,,,,,,,
358,359,Yes,Central,FTR,Faisalabad,PCX Faisalabad,PCX Faisalabad,"Madina Town W , X, Y, Z block, Officer Colony",5816-3G-CII-4514-,31.42413,73.11981,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,0,FDH 206 To be Executed Jun 30 2024 cable pulling in progress,,,,,,
359,360,Yes,Central,FTR,Faisalabad,PCX Faisalabad,PCX Faisalabad,"Madina Town W , X, Y, Z block, Officer Colony",4028-3G-CII-3035-4G-CII-133035,31.42748,73.12399,Yes,Fiberized,Covered,-,-,-,FDH 204 PAT Done Apr 29 2024,,,,,,,,
360,361,Yes,Central,FTR,Faisalabad,PCX Faisalabad,PCX Faisalabad,"Madina Town W , X, Y, Z block, Officer Colony",CII-2258-3G-CII-4527-,31.42014,73.12503,Yes,Fiberized,Covered,-,-,-,FDH 106 PAT Done May 29 2024,,,,,,,,
361,362,Yes,Central,MTR,Multan,New Multan,New Multan,"New Multan Block U, V, W, X",5000-3G-CII-3168-,30.20047,71.51788,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FDH-207 Near Kikar stop,,Fiberized,,,,,,
362,363,Yes,Central,MTR,Multan,New Multan,New Multan,"New Multan Block U, V, W, X",,,,,,,,,Nill,Nill,,,,,,,,
363,364,Yes,Central,FTR,Jhang,Jhang,Jhang,W and Z block S/town Jhang,4237-3G-CII-4234-,31.26277,72.35544,Yes,Fiberized,Covered,-,-,-,FDH 107 PAT Done May 15 2024,,,,,,,,
364,365,Yes,South,KTR-2,Karachi,KAP,NHS (Indoor location),Gulshan-e-Jamal,9406-3G-S-4813-4G-S-144813,24.90026,67.11544,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,0,,,,,,0.0
365,366,Yes,South,KTR-2,Karachi,KAP,NHS (Indoor location),Gulshan-e-Jamal,9415-3G-S-4816-4G-S-144816,24.89691,67.11805,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,0,,,,,,0.0
366,367,Yes,South,KTR-2,Karachi,KAP,NHS (Indoor location),Gulshan-e-Jamal,9174-3G-S-2444-4G-S-142444,24.89621,67.11537,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,0,,,,,,0.0
367,368,Yes,Central,SLTR,Sialkot,SITE Sialkot,SITE Sialkot,Umar Town,7766-3G-CI-4171-4G-CI-124171,32.48122,74.51097,Yes,Fiberized,Covered,-,-,FAT 01,Feasibility From Nearest FAT FDH-503,,,,,,,,
368,369,Yes,South,KTR-2,Karachi,Malir Cantt,Malir Cantt,DOHS 1 & 2,Nil,,,,,,,,Nill,Nill,0,,,,,,,
369,370,Yes,North,NTR-2,Peshawar,Khyber,Khyber,Askari 6 Peshawar,Nil,,,,,,,,Nill,Nill,,,,,,,,
370,371,Yes,Central,MTR,Bahawalpur,CTX Bahawalpur,CTX Bahawalpur,Allama Iqbal Town ,Nil,,,,,,,,Nill,Nill,,,,,,,,
371,372,Yes,Central,MTR,Bahawalpur,CTX Bahawalpur,CTX Bahawalpur,Al Noor Garden,Nil,,,,,,,,Nill,Nill,,,,,,,,
372,373,Yes,Central,MTR,Bahawalpur,Satellite Town ,Satellite Town ,FDH 104 Satellite Town Extension,Nil,,,,,,,,Nill,Nill,,,,,,,,
373,374,Yes,Central,MTR,Bahawalpur,Satellite Town ,Satellite Town ,FDH 105 Satellite Town Extension,Nil,,,,,,,,Nill,Nill,,,,,,,,
374,375,Yes,Central,MTR,Bahawalpur,Satellite Town ,Satellite Town ,FDH 108 Satellite Town Extension,Nil,,,,,,,,Nill,Nill,,,,,,,,
375,376,Yes,Central,FTR,Faisalabad,Samanabad,Samanabad,Gulberg Green,Nil,,,,,,,,Nill,Nill,,,,,,,,
376,377,Yes,Central,FTR,Faisalabad,Jhang Road Faisalabad,Jhang Road Faisalabad,Liaqat Town Jhang Road,Nil,,,,,,,,Nill,Nill,,,,,,,,
377,378,Yes,Central,FTR,Toba Tek Singh,Toba Tek Singh,Toba Tek Singh,New Garden Town,Nil,,,,,,,,Nill,Nill,,,,,,,,
378,379,Yes,Central,FTR,Toba Tek Singh,Toba Tek Singh,Toba Tek Singh,Samanabad Gojra,Nil,,,,,,,,Nill,Nill,,,,,,,,
379,380,Yes,Central,FTR,Faisalabad,CTH Faisalabad,CTH Faisalabad,Railway Road,Nil,,,,,,,,Nill,Nill,,,,,,,,
380,381,Yes,Central,FTR,Faisalabad,Samanabad,Samanabad,Railway Housing Scheme,Nil,,,,,,,,Nill,Nill,,,,,,,,
381,382,Yes,South,HYTR,Hyderabad,Latifabad,Latifabad,Latifabad Unit 7,,,,,,,,,Nill,Nill,0,,,,,,,
382,383,Yes,Central,CTR,Okara,Okara,Okara,Suffa School,4512-3G-CII-3553-,30.82067,73.45094,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,Completed,,Fiberized,,,,,,
383,384,Yes,Central,CTR,Okara,Okara,Okara,Suffa School,,,,,,,,,Nill,Nill,,,,,,,,
384,385,Yes,Central,LTR-S,Lahore,Ali Raza Abad,Ali Raza Abad,OPF Society,Nil,,,,,,,,Nill,Nill,,,,,,,,
385,386,Yes,Central,LTR-S,Lahore,Johar Town,Johar Town,PCSIR Society,Nil,,,,,,,,Nill,Nill,,,,,,,,
386,387,Yes,South,KTR-3,Karachi,Gulshan-i-Iqbal,Gulshan-i-Iqbal,"Gulshan-e-Iqbal Block 13 (Ring-1, Ring-5) Additional",,,,,,,,,Nill,Nill,0,,,,,,,
387,388,Yes,North,RTR,Chakwal,PD Khan,PD Khan,Khewra ,,,,,,,,,Nill,Nill,,,,,,,,
388,389,Yes,Central,LTR-N,Lahore,Guldasht,Guldasht ,Sally Town,,,,,,,,,Nill,Nill,,,,,,,,
389,390,Yes,Central,LTR-N,Lahore,Guldasht,Guldasht ,Sally Town,,,,,,,,,Nill,Nill,,,,,,,,
390,391,Yes,North,RTR,Chakwal,PD Khan,PD Khan,Khewra ,,,,,,,,,Nill,Nill,,,,,,,,
391,392,Yes,Central,LTR-N,Lahore,Guldasht,Guldasht ,Sally Town,,,,,,,,,Nill,Nill,,,,,,,,
392,393,Yes,Central,LTR-N,Lahore,Guldasht,Guldasht ,Sally Town,,,,,,,,,Nill,Nill,,,,,,,,
393,394,Yes,Central,LTR-N,Lahore,Shahdara,Shahdara,Al Rehman Garden,CI-1710-3G-CI-2068-,31.6001,74.2335,Yes,Fiberized,Covered,-,-,-,Completed/Repeated entry,,Fiberized,,,,,,
394,395,Yes,South,QTR,Turbat,Turbat,Turbat,Overseas Housing Scheme,,,,,,,,,Nill,Nill,,,,,,,,
395,396,Yes,Central,GTR,Gujranwala ,SITE Gujranwala,Industrial estate II,Judicial Colony & Bilal Garden,,,,,,,,,Nill,Nill,,,,,,,,
396,397,Yes,North,NTR-2,HANGU,HANGU,HANGU,Main Bazar Hangu City,6609-3G-N-1573-,33.53733,71.06936,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FDH 103 Hungu City,,,,,,,,
397,398,Yes,North,NTR-2,HANGU,HANGU,HANGU,Main Bazar Hangu City,2476-3G-N-2715-,33.54555,71.08785,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FDH 104 Hungu City,,,,,,,,
398,399,Yes,North,NTR-2,PESHAWAR,Hayatabad,Hayatabad,RINGROAD HAYATABAD PORTION,,,,,,,,,Nill,Nill,,,,,,,,
399,400,Yes,North,NTR-2,Peshawar,Khyber,Peshtakhara,RINGROAD PESHTAKHARA PORTION,2127-3G-N-1217-4G-N-111217,33.96006,71.50783,Yes,Fiberized,Covered,-,-,-,"Phistakhara FDH103, FAT 26 is located at approximate distance of 200 M",,,,,,,,
400,401,Yes,North,NTR-2,Peshawar,Khyber,Peshtakhara,RINGROAD PESHTAKHARA PORTION,,,,,,,,,Nill,Nill,,,,,,,,
401,402,Yes,South,STR,Larkana City,Larkana 2,Larkana,Sachal colony Larkana,,,,,,,,,Nill,Nill,,,,,,,,
402,403,Yes,South,STR,Larkana City,Larkana 2,Larkana,Sachal colony Larkana,,,,,,,,,Nill,Nill,,,,,,,,
403,404,Yes,South,KTR-2,Karachi,KAP,KAP,Anum Homes & Ibrahim Villas,Nil,,,,,,,,Nill,Nill,0,,,,,,,
404,405,Yes,North,RTR,Jhelum,Kala Dev,Kala Dev,Bilal Town,Nil,,,,,,,,Nill,Nill,,,,,,,,
405,406,Yes,Central,FTR,Mianwali,Mianwali,Mianwali,Govt High School Road,5770-3G-CII-3757-,32.57236,71.54355,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed /Project yet to be kick off,,,,,,,,
406,407,Yes,Central,FTR,Mianwali,Mianwali,Mianwali,Govt High School Road,,,,,,,,,Nill,Nill,,,,,,,,
407,408,Yes,North,RTR,Dina,EXCHDina,Mangla,Baral Colony,Nil,,,,,,,,Nill,Nill,,,,,,,,
408,409,Yes,Central,FTR,Sargodha,CTX Sargodha,CTX Sargodha,Judges Colony Near Mela Mandi Sargodha ,Nil,,,,,,,,Nill,Nill,,,,,,,,
409,410,Yes,Central,FTR,Sargodha,CTX Sargodha,CTX Sargodha,Mansoorabad Phase-2 & Askari Homes,Nil,,,,,,,,Nill,Nill,,,,,,,,
410,411,Yes,Central,SLTR,Sialkot,CTX Sialkot,CTX Sialkot,Sheikh Colony,Nil,,,,,,,,Nill,Nill,,,,,,,,
411,412,Yes,Central,FTR,Faisalabad,Jhang Road,Jhang Road,Air Avenue City,Nil,,,,,,,,Nill,Nill,,,,,,,,
412,413,Yes,Central,FTR,Faisalabad,Jhang Road,Jhang Road,"Gulfishan Colony,A,B,C,D Blocks",Nil,,,,,,,,Nill,Nill,,,,,,,,
413,414,Yes,Central,LTR-S,Lahore,Ferozpur Road Exchange,DHA 5,"PCHS Block A, B, D, E, F1 and F2",CI-1466-3G-CI-4351-4G-CI-124351,31.4559,74.3674,Yes,Fiberized,Covered,Feasibility From Nearest NAP,-,-,completed,,Fiberized,,,,,,
414,415,Yes,South,QTR,Quetta,Quetta Central-3,Central 3 Quetta,Yet Road MSAG,Nil,,,,,,,,Nill,Nill,,,,,,,,
415,416,Yes,Central,CTR,Pak Pattan,Arif Wala,Arifwala,Gulshan e Wahab,Nil,,,,,,,,Nill,Nill,,,,,,,,
416,417,Yes,North,ITR,Rawalpindi,Satellite Town,Satellite Town,A and C Block,,,,,,,,,Nill,Nill,,,,,,,,
417,418,Yes,Central,LTR-N,Lahore,DHA Lahore,Guldasht ,Eden city,Nil,,,,,,,,Nill,Nill,,,,,,,,
418,419,Yes,Central,LTR-S,Lahore,Ferozpur Road Exchange,Ferozepur Road,"Ashiana E Quaid Block A, B, C, D, E",Nil,,,,,,,,Nill,Nill,,,,,,,,
419,420,Yes,South,QTR,Quetta,City Quetta,City Quetta,Nichari,1390-3G-S-2231-4G-S-142231,30.188,67.02301,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,"FAT-9,FDH-101",,0,,,,,,
420,421,Yes,South,KTR-3,Karachi,Maymar,Gulshan-e-Maymar,Sector Q & Y,Nil,,,,,,,,Nill,Nill,0,,,,,,,
421,422,Yes,South,KTR-3,Karachi,Maymar,Gulshan-e-Maymar,Sector Q & Y,Nil,,,,,,,,Nill,Nill,0,,,,,,,
422,423,Yes,South,KTR-3,Karachi,Maymar,Gulshan-e-Maymar,Sector Q & Y,Nil,,,,,,,,Nill,Nill,0,,,,,,,
423,424,Yes,South,KTR-2,Karachi,Garden,Garden,Parsa City (Expansion),Nil,,,,,,,,Nill,Nill,0,,,,,,,
424,425,Yes,Central,GTR,Gujranwala ,Gujranwala Rural,Wazirabad,Taj Bagh Wazirabad,Nil,,,,,,,,Nill,Nill,,,,,,,,
425,426,Yes,North,NTR-1,Peshawar City,Peshawar City,Warsak Rd,Bihari Colony,Nil,,,,,,,,Nill,Nill,,,,,,,,
426,427,Yes,Central,MTR,Multan,Gulgasht,Gulgasht,Gulgast Colony & Zakriya Town,4122-3G-CII-3128-,30.23328,71.48268,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FDH-108 FAT-32,,Fiberized,,,,,,
427,428,Yes,Central,MTR,Multan,Gulgasht,Gulgasht,Gulgast Colony & Zakriya Town,4139-3G-CII-3138-,30.22775,71.49044,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FDH-202 FAT-30  ,,Fiberized,,,,,,
428,429,Yes,Central,SLTR,Gujrat,Lalamusa,Lalamusa,Karim Pura/ Railway Road Muhalla,Nil,,,,,,,,Nill,Nill,,,,,,,,
429,430,Yes,Central,SLTR,Gujrat,Lalamusa,Lalamusa,Camping Ground/Chandni Chowk,Nil,,,,,,,,Nill,Nill,,,,,,,,
430,431,Yes,South,QTR,Quetta,Nawa Killi,Nawa Killi,Defense housing scheme,Nil,,,,,,,,Nill,Nill,,,,,,,,
431,432,Yes,South,KTR-2,Karachi,Gulshan-e-Mehran,Gulshan-e-Mehran,Saadi Town,,,,,,,,,Nill,Nill,0,,,,,,,
432,433,Yes,South,HYTR,Hyderabad,City Hyderabad,Halanaka,Qadir Avenue2,Nil,,,,,,,,Nill,Nill,0,,,,,,,
433,434,Yes,South,HyTR,Hyderabad,Latifabad,Latifabad,Deeploy Memon Society,6078-3G-S-1092-4G-S-141092,25.42329,68.35549,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT, FAT-40,,,,,,,,
434,435,Yes,North,ITR,Islamabad,F-11,F-11,E-11/2,Nil,,,,,,,,Nill,Nill,,,,,,,,
435,436,Yes,South,QTR,Quetta,Nawa Killi,Nawa Killi,Nawa Killi Additional ,1408-3G-S-2964-4G-S-142964,30.23885,67.01518,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,"FAT -19, FDH-109",,0,,,,,,
436,437,Yes,South,QTR,Quetta,Nawa Killi,Nawa Killi,Nawa Killi Additional ,S-3117-3G-S-1155-4G-S-141155,30.24479,67.00934,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,"FAT -45, FDH-305",,0,,,,,,
437,438,Yes,South,QTR,Quetta,Nawa Killi,Nawa Killi,Nawa Killi Additional ,1383-3G-S-2968-4G-S-142968,30.23251,67.02069,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,"FAT -27, FDH-107",,0,,,,,,
438,439,Yes,South,QTR,Quetta,Nawa Killi,Nawa Killi,Nawa Killi Additional ,,,,,,,,,Nill,Nill,,,,,,,,
439,440,Yes,South,QTR,Quetta,Nawa Killi,Nawa Killi,Nawa Killi Additional ,,,,,,,,,Nill,Nill,,,,,,,,
440,441,Yes,South,QTR,Quetta,Nawa Killi,Nawa Killi,Nawa Killi Additional ,,,,,,,,,Nill,Nill,,,,,,,,
441,442,Yes,South,QTR,Quetta,Nawa Killi,Nawa Killi,Nawa Killi Additional ,,,,,,,,,Nill,Nill,,,,,,,,
442,443,Yes,Central,LTR-S,Lahore,Ali Raza Abad,Ali Raza Abad,OPF-Block A & B,Nil,,,,,,,,Nill,Nill,,,,,,,,
443,444,Yes,North,ITR,Rawalpindi,Bahria Town Islamabad,Bahria Town Islamabad,Phase 8 (FAT Expansion),Nil,,,,,,,,Nill,Nill,,,,,,,,
444,445,Yes,Central,LTR-S,Lahore,Johar Town,Johar Town,G-3 Block ,Nil,,,,,,,,Nill,Nill,,,,,,,,
445,446,Yes,Central,CTR,Sheikhupura,Qilla Sheikhupura,Qilla Sheikhupura,Sheraz Garden,Nil,,,,,,,,Nill,Nill,,,,,,,,
446,447,Yes,North,NTR-1,Swat,Swat-I,Swat-I,Mingora,6722-3G-N-1888-,34.7779,72.35613,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,,,,,,,
447,448,Yes,North,NTR-1,Swat,Swat-I,Swat-I,Mingora,Nil,,,,,,,,Nill,Nill,,,,,,,,
448,449,Yes,North,NTR-1,Swat,Swat-I,Swat-I,Mingora,Nil,,,,,,,,Nill,Nill,,,,,,,,
449,450,Yes,North,NTR-1,Swat,Swat-I,Swat-I,Mingora,Nil,,,,,,,,Nill,Nill,,,,,,,,
450,451,Yes,North,NTR-1,Swat,Swat-I,Swat-I,Mingora,Nil,,,,,,,,Nill,Nill,,,,,,,,
451,452,Yes,Central,LTR-N,Lahore,Guldasht,Guldasht ,Baowala,Nil,,,,,,,,Nill,Nill,,,,,,,,
452,453,Yes,North,ITR,Rawalpindi,Chaklala,Chaklala,Palm City,Nil,,,,,,,,Nill,Nill,,,,,,,,
453,454,Yes,Central,FTR,Faisalabad,CTX Faisalabad,CTX Faisalabad,New Grain Market,Nil,,,,,,,,Nill,Nill,,,,,,,,
454,455,Yes,Central,FTR,Faisalabad,PCX Faisalabad,PCX Faisalabad,Shadman Colony,Nil,,,,,,,,Nill,Nill,,,,,,,,
455,456,Yes,South,STR,Khairpur,Thari Mirwah,Thari Mirwah,Kot Diji,,,,,,,,,Nill,Nill,,,,,,,,
456,457,Yes,North,ITR,Rawalpindi,Satellite Town,Satellite Town,NA Block,8144-3G-N-1892-4G-N-111892,33.64634,73.06479,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FDH 601 NA BLOCK SATELITE TOWN RWP FAT-23,,FDH 601 NA BLOCK SATELITE TOWN RWP FAT-23,,,,,,
457,458,Yes,North,ITR,Rawalpindi,Satellite Town,Satellite Town,NA Block,,,,,,,,,Nill,Nill,,,,,,,,
458,459,Yes,Central,CTR,Sheikhupura,Sheikhupura,Sheikhupura,Nasheman Park Garden,Nil,,,,,,,,Nill,Nill,,,,,,,,
459,460,Yes,North,RTR,Taxila ,Taxila,Taxila,Hassan Colony ,Nil,,,,,,,,Nill,Nill,,,,,,,,
460,461,Yes,Central,LTR-N,Lahore,CTH Lahore,CTH Lahore,Civil Sectriate,Nil,,,,,,,,Nill,Nill,,,,,,,,
461,462,Yes,North,NTR-2,KOHAT,Kohat,Kohat,KOHAT CANTT & BAZAR,8559-3G-N-1538-,33.59658,71.43349,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,Fdh 201 OTS road kohat,,,,,,,,
462,463,Yes,North,NTR-2,KOHAT,Kohat,Kohat,KOHAT CANTT & BAZAR,8560-3G-N-1539-,33.58928,71.42835,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,Fdh 204 Near poliec line hungu road kohat,,,,,,,,
463,464,Yes,North,NTR-2,KOHAT,Kohat,Kohat,KOHAT CANTT & BAZAR,N-5501-3G-N-2309-,33.58962,71.4412,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,Fdh 206 near near Kachahri chowk kohat,,,,,,,,
464,465,Yes,North,NTR-2,KOHAT,Kohat,Kohat,KOHAT CANTT & BAZAR,2313-3G-N-1534-,33.59456,71.45406,Yes,Non Fiberized,Not Covered,-,-,Fdh 102 kohat cantt,Execution In Progress,,,,,,,,
465,466,Yes,North,NTR-2,KOHAT,Kohat,Kohat,KOHAT CANTT & BAZAR,2300-3G-N-1861-,33.5847,71.4522,Yes,Non Fiberized,Not Covered,-,-,Fdh 105 kohat cantt,Execution In Progress,,,,,,,,
466,467,Yes,North,NTR-1,Mardan,Mardan,Mardan,Mardan City Ph-2,Nil,,,,,,,,Nill,Nill,,,,,,,,
467,468,Yes,Central,CTR,Sheikhupura,Sheikhupura,Sheikhupura,Tufail Shaheed Road & Civil Quarters,Nil,,,,,,,,Nill,Nill,,,,,,,,
468,469,Yes,Central,FTR,Faisalabad,CTH Faisalabad,CTH Faisalabad,Tariq Road,Nil,,,,,,,,Nill,Nill,,,,,,,,
469,470,Yes,Central,FTR,Faisalabad,CTX Sargodha,CTX Sargodha,Madina Town ,Nil,,,,,,,,Nill,Nill,,,,,,,,
470,471,Nill,North,ITR,Rawalpindi,DHA-II Rawalpindi,DHA Islamabad Phase 2 (Main room),Elcielo Tower,Nil,,,,,,,,Nill,Nill,,,,,,,,
471,472,Nill,Central,CTR,Chichawatni,Chichawatni,Chichawatni,"Housing Colony and Block-13,14",Nil,,,,,,,,Nill,Nill,,,,,,,,
472,473,Nill,Central,CTR,Multan,Burewala,Arifwala,Arif Wala ,Nil,,,,,,,,Nill,Nill,,,,,,,,
473,474,Nill,South,KTR-3,Karachi,Gulshan-i-Iqbal,Gulshan-i-Iqbal,"Gulshan-e-Iqbal,",,,,,,,,,Nill,Nill,0,,,,,,,
