,S. no.,Carry Forwarded From 2023,Zone,Region,City,Exchange as per PC-1,Feeding Node,Area,Ufone,Ufone - LAT,Ufone - LONG,Design Status,Status(Fiberized/ Non Fiberize),FAT/NAP not covered as Home Pass,NAP covered as Home Pass (With Drop pipe),NAP covered as Home Pass (Witout  Drop pipe),FAT covered as Home Pass (Aerial Deployment),Remarks,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
729,734,Nill,Central,GTR,Phalia,Phalia,Phalia,Phalia,3673-3G-CI-2108,32.4335900000256,73.5807100004725,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH 104,,,,,,
730,735,Nill,Central,GTR,Phalia,Phalia,Phalia,Phalia,No Ufone site in data Provided.,32.4319000003753,73.5740999997267,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH 104,,,,,,
731,736,Nill,North,ITR,Rawalpindi,Satellite town,Satellite town,Stown,2080-3G-N-1035-4G-N-111035,33.6433800000001,73.08435,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH 702,,,,,,
732,737,Nill,North,ITR,Rawalpindi,Satellite town,Satellite town,Stown,N-5340-3G-N-3108,33.6353603117273,73.0851134262638,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH 705,,,,,,
733,738,Nill,North,ITR,Rawalpindi,Satellite town,Satellite town,Stown,2018-3G-N-1170-4G-N-111170,33.6323300000001,73.0854600000001,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH 706,,,,,,
734,739,Nill,North,ITR,Rawalpindi,Satellite town,Satellite town,Stown,8249-3G-N-1344-4G-N-111344,33.62744,73.0854700000001,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH 907,,,,,,
735,740,Nill,Central,LTR-S,Lahore,Township,Township,Sector D1 /Block 5,7161-3G-CI-4370,"31° 26' 19.860"" N","74° 18' 43.920"" E",Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH 606,,,,,,
736,741,Nill,Central,LTR-S,Lahore,Township,Township,Sector D1 / Block 2,7122-3G-CI-4348-4G-CI-124348,"31° 26' 46.284"" N","74° 18' 38.124"" E",Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH 704,,,,,,
737,742,Nill,Central,LTR-S,Lahore,Township,Township,Civic Center,CI-1479,"31° 26' 51.684"" N","74° 18' 54.540"" E",Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH 708,,,,,,
738,743,Nill,Central,LTR-S,Lahore,Township,Township,Sector C1 /Block 2,7313-3G-CI-4448-4G-CI-124448,"31° 26' 41.316"" N","74° 18' 5.724"" E",Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH 801,,,,,,
739,744,Nill,South,KTR-2,Karachi,Pak Capital,Pak Capital,"Al-hilal Society & Chadni chok &  Aga khan University & Block 14, Gulshan-e-Iqbal",6247-3G-S-4704-4G-S-144704,24.8940635167744,67.0648276706283,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-3005,,,,,,
740,745,Nill,South,KTR-2,Karachi,Pak Capital,Pak Capital,"Block 14, Gulshan-e-Iqbal",9448-3G-S-2155-4G-S-142155,24.8970516958633,67.0780641240733,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-3002,,,,,,
741,746,Nill,South,KTR-2,Karachi,Pak Capital,Pak Capital,"Block 14, Gulshan-e-Iqbal",9153-3G-S-2433-4G-S-142433,24.8994530501067,67.0747555617795,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-3001,,,,,,
742,747,Nill,South,KTR-2,Karachi,Pak Capital,Pak Capital,"Al-hilal Society & Chadni chok &  Aga khan University & Block 14, Gulshan-e-Iqbal",9011-3G-S-2070-4G-S-142070,24.8946978804098,67.0715588474306,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-3004,,,,,,
743,748,Nill,South,KTR-2,Karachi,Pak Capital,Pak Capital,Al-hilal Society & Chadni chok &  Aga khan University,9129-3G-S-2098-4G-S-142098,24.8898078933751,67.064729343276,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-4003,,,,,,
744,749,Nill,Central,LTR-S,Lahore,Wapda Town,Wapda Town,Sunny Park Extension/ Nawab town,7210-3G-CI-4398,"31° 27' 15.840"" N","74° 15' 8.604"" E",Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH 1901,,,,,,
745,750,Nill,South,HYTR,Hyderabad,City Exchange,City Exchange,Gulshan e Fareed Ilahi Ph-3 / Kali mori Hyderabad,S-3191-3G-S-1117,25.4060316945415,68.3856550893331,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH 103,,,,,,
746,751,Nill,South,HYTR,Hyderabad,City Exchange,City Exchange,Gulshan e Fareed Ilahi Ph-2 / Kali Mori Hyderabad,9889-3G-S-3027-4G-S-143027,25.4031539608515,68.3895645525836,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH 104,,,,,,
747,752,Nill,South,KTR-3,Karachi,Nazimabad,Nazimabad,Block E,9009-3G-S-2069-4G-S-142069,24.93959,67.04246,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-5002,,,,,,
748,753,Nill,South,KTR-3,Karachi,Nazimabad,Nazimabad,Block D,9464-3G-S-4824-4G-S-144824,24.9429,67.03758,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-5003,,,,,,
749,754,Nill,South,KTR-3,Karachi,Nazimabad,Nazimabad,Block  D,9688-3G-S-2691,24.94186,67.04609,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-6001,,,,,,
750,755,Nill,South,KTR-3,Karachi,Nazimabad,Nazimabad,Block  I,6245-3G-S-4702-4G-S-144702,24.94723,67.04568,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-6002,,,,,,
751,756,Nill,South,KTR-3,Karachi,Nazimabad,Nazimabad,Block I,6245-3G-S-4702-4G-S-144702,24.95265,67.04535,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-6003,,,,,,
752,757,Nill,South,KTR-3,Karachi,Nazimabad,Nazimabad,Block I & Block J,S-3282-3G-S-4892,24.9524,67.05089,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-6004,,,,,,
753,758,Nill,South,KTR-3,Karachi,Nazimabad,Nazimabad,Block J,1061-3G-S-2205-4G-S-142205,24.9564,67.05169,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-6005,,,,,,
754,759,Nill,South,KTR-3,Karachi,Nazimabad,Nazimabad,Block J,6553-3G-S-2346-4G-S-142346,24.95324,67.05423,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-6006,,,,,,
